Date,Particulars,Voucher No.,GSTIN/UIN,Gross Total,Sales Taxable@5%,Output CGST@2.5%,Output SGST@2.5%,Sales Taxable @12%,Output CGST @6%,Output SGST @ 6%,Sales Interstate Taxable @12%,Output IGST @12%,ROUND OFF,Other Charges,Sales Interstate Taxable@5%,Output IGST @5%,Grand Total
2024-11-07,Sagar,352/24-25,27AABPT1293K1ZD,15141,,,,13519.00 Cr,811.00 Cr,811.00 Cr,,,,,,,
2024-11-08,Tiny Baby,359/24-25,27BABPS1183E1ZT,12247,,,,10935.00 Cr,656.00 Cr,656.00 Cr,,,,,,,
2024-11-08,Shahenshah Childrens Wear,358/24-25,27AESPD4014P1Z5,7448,,,,6650.00 Cr,399.00 Cr,399.00 Cr,,,,,,,
2024-11-08,Kalapi Nx,357/24-25,27AASFK2634G1Z4,36966,3895.00 Cr,97.00 Cr,97.00 Cr,29355.00 Cr,1761.00 Cr,1761.00 Cr,,,,,,,
2024-11-08,Janta Bazar-Vasai,356/24-25,27AAGFJ8219C1ZG,30281,,,,27037.00 Cr,1622.00 Cr,1622.00 Cr,,,,,,,
2024-11-08,Janta Bazar-Nallasopara,355/24-25,27AAGFJ8219C1ZG,30281,,,,27037.00 Cr,1622.00 Cr,1622.00 Cr,,,,,,,
2024-11-08,Puzzle,354/24-25,27AHIPD1472E1ZO,18032,,,,16100.00 Cr,966.00 Cr,966.00 Cr,,,,,,,
2024-11-09,Penguin Kids & Ladies,366/24-25,27ADJPT1360L1Z5,7180,,,,6410.00 Cr,385.00 Cr,385.00 Cr,,,,,,,
2024-11-09,Sweety Clothing LLP,363/24-25,27AFGFS7469J1Z8,4173,3975.00 Cr,99.00 Cr,99.00 Cr,,,,,,,,,,
2024-11-09,Blossom,364/24-25,27AQRPS2494R1ZI,19368,3360.00 Cr,84.00 Cr,84.00 Cr,14143.00 Cr,848.50 Cr,848.50 Cr,,,,,,,
