Date,Particulars,Voucher No.,GSTIN/UIN,Gross Total,Sales Taxable@5%,Output CGST@2.5%,Output SGST@2.5%,Sales Taxable @12%,Output CGST @6%,Output SGST @ 6%,Sales Interstate Taxable @12%,Output IGST @12%,ROUND OFF,Other Charges,Sales Interstate Taxable@5%,Output IGST @5%,Grand Total
2024-12-06,Shivam Kids Wear,476/24-25,03AQSPD4244K1ZS,18290,,,,,,,16330.00 Cr,1960.00 Cr,,,,,
2024-12-06,Baby's World,477/24-25,24ANCPN9399J1ZC,13639,,,,,,,10858.00 Cr,1303.00 Cr,,,1407.00 Cr,71.00 Cr,
2024-12-06,Kidz Zone,478/24-25,27ACWPP0079J1ZW,8125,,,,7255.00 Cr,435.00 Cr,435.00 Cr,,,,,,,
2024-12-06,Culture,479/24-25,27AJCPC0931F1ZU,12062,,,,10770.00 Cr,646.00 Cr,646.00 Cr,,,,,,,
2024-12-07,Tiny Baby,481/24-25,27BABPS1183E1ZT,2251,,,,2009.00 Cr,121.00 Cr,121.00 Cr,,,,,,,
2024-12-07,Kids Zone-Kalbadevi,482/24-25,27AIYPB2790A1Z8,7485,,,,6683.00 Cr,401.00 Cr,401.00 Cr,,,,,,,
2024-12-07,Carron Clothing Pvt Ltd,483/24-25,27AABCC2448L1ZK,1490,,,,1330.00 Cr,80.00 Cr,80.00 Cr,,,,,,,
2024-12-09,Kalapi Nx,484/24-25,27AASFK2634G1Z4,44928,,,,40113.00 Cr,2407.00 Cr,2407.00 Cr,,,1.00 Cr,,,,
2024-12-09,Carron Clothing Pvt Ltd,485/24-25,27AABCC2448L1ZK,9290,,,,8293.00 Cr,498.00 Cr,498.00 Cr,,,1.00 Cr,,,,
2024-12-10,Kalpana Apparels-Mulund,486/24-25,27AEPPG0608H1ZM,7957,,,,7105.00 Cr,426.00 Cr,426.00 Cr,,,,,,,
2024-12-10,Honesty Stores,487/24-25,27ABIPS0106J1ZP,6060,1000.00 Cr,25.00 Cr,25.00 Cr,4472.00 Cr,269.00 Cr,269.00 Cr,,,,,,,
2024-12-11,Sagar,488/24-25,27AABPT1293K1ZD,1416,,,,1263.00 Cr,76.00 Cr,76.00 Cr,,,1.00 Cr,,,,
2024-12-11,Parichay Department Stores Pvt Ltd,489/24-25,27AADCP6306N1Z4,6932,,,,6190.00 Cr,371.00 Cr,371.00 Cr,,,,,,,
2024-12-11,Pogo Kids Wear,490/24-25,27AZUPP9330R1Z3,8909,,,,7955.00 Cr,477.00 Cr,477.00 Cr,,,,,,,
2024-12-11,Janta Bazar-Vasai,491/24-25,27AAGFJ8219C1ZG,14216,,,,12692.00 Cr,762.00 Cr,762.00 Cr,,,,,,,
2024-12-12,MAYUR KIDS (JUNAGADH),492/24-25,24ADQPL4979A1ZC,17041,,,,,,,15215.00 Cr,1826.00 Cr,,,,,
2024-12-13,Kalapi Nx,493/24-25,27AASFK2634G1Z4,30798,,,,27497.00 Cr,1650.00 Cr,1650.00 Cr,,,1.00 Cr,,,,
2024-12-13,Suvidha,494/24-25,27ABCFS5847C1Z5,8181,,,,7305.00 Cr,438.00 Cr,438.00 Cr,,,,,,,
2024-12-14,Shahenshah Childrens Wear,495/24-25,27AESPD4014P1Z5,12678,,,,11320.00 Cr,679.00 Cr,679.00 Cr,,,,,,,
2024-12-14,Tiny Baby,496/24-25,27BABPS1183E1ZT,4086,,,,3648.00 Cr,219.00 Cr,219.00 Cr,,,,,,,
2024-12-14,Spice,497/24-25,27AHPPJ7298H1ZL,14677,,,,13105.00 Cr,786.00 Cr,786.00 Cr,,,,,,,
2024-12-14,Pallav-Jamnagar,498/24-25,24AAOFP3575D1Z5,20964,,,,,,,15605.00 Cr,1873.00 Cr,,,3320.00 Cr,166.00 Cr,
2024-12-14,New Clothes Club,499/24-25,24AAQFN0597D1Z5,12062,,,,,,,10770.00 Cr,1292.00 Cr,,,,,
2024-12-14,Kalapi Nx,500/24-25,27AASFK2634G1Z4,33587,11520.00 Cr,288.00 Cr,288.00 Cr,19185.00 Cr,1151.00 Cr,1151.00 Cr,,,4.00 Cr,,,,
2024-12-14,Parichay Department Stores Pvt Ltd,501/24-25,27AADCP6306N1Z4,9386,,,,8380.00 Cr,503.00 Cr,503.00 Cr,,,,,,,
2024-12-14,Pogo Kids Wear,502/24-25,27AZUPP9330R1Z3,9693,,,,8655.00 Cr,519.00 Cr,519.00 Cr,,,,,,,
2024-12-14,Krezy Doll-New,503/24-25,27BDJPS9685Q1Z3,36317,,,,32425.00 Cr,1946.00 Cr,1946.00 Cr,,,,,,,
2024-12-16,Penguin Kids & Ladies,504/24-25,27ADJPT1360L1Z5,2535,2415.00 Cr,60.00 Cr,60.00 Cr,,,,,,,,,,
2024-12-16,Krezy Doll-New,505/24-25,27BDJPS9685Q1Z3,26638,5840.00 Cr,146.00 Cr,146.00 Cr,18310.00 Cr,1098.00 Cr,1098.00 Cr,,,,,,,
2024-12-18,Tiny Baby,506/24-25,27BABPS1183E1ZT,3644,,,,3253.00 Cr,195.00 Cr,195.00 Cr,,,1.00 Cr,,,,
2024-12-18,Maitrik Fashion Pvt Ltd,507/24-25,27AANCM1610N1Z8,18817,,,,16800.00 Cr,1008.00 Cr,1008.00 Cr,,,1.00 Cr,,,,
2024-12-18,Riyansh Fashion Pin-A-Kin,508/24-25,27AANCR2517B1ZK,11374,,,,10155.00 Cr,609.00 Cr,609.00 Cr,,,1.00 Cr,,,,
2024-12-18,Carron Clothing Pvt Ltd,509/24-25,27AABCC2448L1ZK,14890,1920.00 Cr,48.00 Cr,48.00 Cr,11494.00 Cr,690.00 Cr,690.00 Cr,,,,,,,
2024-12-19,Kaccha Limboo,510/24-25,27RAXPS9827K1ZZ,8012,,,,7153.00 Cr,429.00 Cr,429.00 Cr,,,1.00 Cr,,,,
2024-12-20,Pallav-Jamnagar,511/24-25,24AAOFP3575D1Z5,17478,,,,,,,15605.00 Cr,1873.00 Cr,,,,,
2024-12-20,Angel,512/24-25,24AKFPT5168F1ZZ,32278,,,,,,,23325.00 Cr,2800.00 Cr,,,5860.00 Cr,293.00 Cr,
2024-12-20,Next Turn,513/24-25,24CEXPM5282B1Z8,23940,,,,,,,18675.00 Cr,2241.00 Cr,,,2880.00 Cr,144.00 Cr,
2024-12-20,Pummy Fashion,514/24-25,24AACFP5050H1ZJ,21078,,,,,,,18820.00 Cr,2258.00 Cr,,,,,
2024-12-20,Baby's World,515/24-25,24ANCPN9399J1ZC,16503,,,,,,,11115.00 Cr,1335.00 Cr,,,3860.00 Cr,193.00 Cr,
2024-12-23,Carron Clothing Pvt Ltd,516/24-25,27AABCC2448L1ZK,15406,13756.00 Cr,825.00 Cr,825.00 Cr,,,,,,,,,,
2024-12-23,Next Turn,517/24-25,24CEXPM5282B1Z8,2396,,,,,,,2050.00 Cr,246.00 Cr,,100.00 Cr,,,
2024-12-24,Stop N Shop,518/24-25,27AOFPS2660M1ZG,39951,1960.00 Cr,49.00 Cr,49.00 Cr,33835.00 Cr,2029.00 Cr,2029.00 Cr,,,,,,,
2024-12-24,Navyug Selection,519/24-25,24ARQPG6894D1ZG,40421,,,,,,,36090.00 Cr,4331.00 Cr,,,,,
2024-12-24,Kalapi Nx,520/24-25,27AASFK2634G1Z4,18669,2360.00 Cr,59.00 Cr,59.00 Cr,14455.00 Cr,868.00 Cr,868.00 Cr,,,,,,,
2024-12-24,Shahenshah Childrens Wear,521/24-25,27AESPD4014P1Z5,12323,1000.00 Cr,25.00 Cr,25.00 Cr,10065.00 Cr,604.00 Cr,604.00 Cr,,,,,,,
2024-12-24,Trend Setter,522/24-25,27AAFPS2786N1ZW,11044,,,,9860.00 Cr,592.00 Cr,592.00 Cr,,,,,,,
2024-12-24,Honey Bunny New Born and Kids Wear,523/24-25,27AHEPP8675M1ZG,11044,,,,9860.00 Cr,592.00 Cr,592.00 Cr,,,,,,,
2024-12-24,Kidz Zone,524/24-25,27ACWPP0079J1ZW,15960,,,,14250.00 Cr,855.00 Cr,855.00 Cr,,,,,,,
2024-12-24,Blossom,525/24-25,27AQRPS2494R1ZI,3895,,,,3477.00 Cr,209.00 Cr,209.00 Cr,,,,,,,
2024-12-24,Suvidha,526/24-25,27ABCFS5847C1Z5,19925,960.00 Cr,24.00 Cr,24.00 Cr,16891.00 Cr,1013.00 Cr,1013.00 Cr,,,,,,,
2024-12-24,Krezy Doll-New,527/24-25,27BDJPS9685Q1Z3,12729,,,,11365.00 Cr,682.00 Cr,682.00 Cr,,,,,,,
2024-12-24,Poshak-Rajkot,528/24-25,24AAGFP1352E1ZO,16055,,,,,,,14335.00 Cr,1720.00 Cr,,,,,
2024-12-25,Trios,529/24-25,27AACFT4028M1ZY,9804,,,,8754.00 Cr,525.00 Cr,525.00 Cr,,,,,,,
2024-12-25,Shahenshah Childrens Wear,530/24-25,27AESPD4014P1Z5,5690,,,,5080.00 Cr,305.00 Cr,305.00 Cr,,,,,,,
2024-12-30,Shahenshah Childrens Wear,531/24-25,27AESPD4014P1Z5,14198,1000.00 Cr,25.00 Cr,25.00 Cr,11740.00 Cr,704.00 Cr,704.00 Cr,,,,,,,
2024-12-30,Kalapi Nx,532/24-25,27AASFK2634G1Z4,48252,4840.00 Cr,121.00 Cr,121.00 Cr,38541.00 Cr,2314.00 Cr,2314.00 Cr,,,1.00 Cr,,,,
2024-12-30,Stop N Shop,533/24-25,27AOFPS2660M1ZG,2313,,,,2065.00 Cr,124.00 Cr,124.00 Cr,,,,,,,
2024-12-30,Bubbly Exclusive,534/24-25,24BXHPP0276N1Z2,27496,,,,,,,24550.00 Cr,2946.00 Cr,,,,,
2024-12-30,Baby's World,535/24-25,24ANCPN9399J1ZC,19650,,,,,,,17545.00 Cr,2105.00 Cr,,,,,
2024-12-30,Poshak-Rajkot,536/24-25,24AAGFP1352E1ZO,11502,,,,,,,10270.00 Cr,1232.00 Cr,,,,,
2024-12-30,MAYUR KIDS (JUNAGADH),537/24-25,24ADQPL4979A1ZC,101562,,,,,,,,,,,96726.00 Cr,4836.00 Cr,
2024-12-30,Raazz-New Delhi,538/24-25,07AIEPA0129L1ZN,17478,,,,,,,15605.00 Cr,1873.00 Cr,,,,,
2024-12-31,Kalapi Nx,539/24-25,27AASFK2634G1Z4,18402,,,,16430.00 Cr,986.00 Cr,986.00 Cr,,,,,,,
2025-01-02,Carron Clothing Pvt Ltd,540/24-25,27AABCC2448L1ZK,27887,960.00 Cr,24.00 Cr,24.00 Cr,24001.00 Cr,1439.00 Cr,1439.00 Cr,,,,,,,
2025-01-03,New Clothes Club,541/24-25,24AAQFN0597D1Z5,2956,,,,,,,2550.00 Cr,306.00 Cr,,100.00 Cr,,,
